oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Honor,30,2020,2020,160.3 x 74.2 x 8.1 mm (6.31 x 2.92 x 0.32 in),185.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.53,"1080 x 2400 pixels, 20:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Android 10
Honor,20e,2020,2020,154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.21,"1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
Honor,Play 4T Pro,2020,2020,157.4 x 73.2 x 7.8 mm (6.20 x 2.88 x 0.31 in),165.0,"Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.3,"1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass",Android 10
Honor,Play 4T,2020,2020,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.39,"720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
Honor,8A 2020,2020,2020,156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.09,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Honor,8A Prime,2020,2020,156.3 x 73.5 x 8.2 mm (6.15 x 2.89 x 0.32 in),150.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.09,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
Honor,30S,2020,2020,162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in),190.0,"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Honor,Play 9A,2020,2020,159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in),185.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.3,"720 x 1600 pixels, 20:9 ratio (~278 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 10
Honor,View30 Pro,2020,2020,162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),206.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~400 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Honor,View30,2020,2020,162.7 x 75.8 x 8.9 mm (6.41 x 2.98 x 0.35 in),213.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~401 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Honor,V30 Pro,2019,2019,162.7 x 75.8 x 8.8 mm (6.41 x 2.98 x 0.35 in),206.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.57,"1080 x 2400 pixels, 20:9 ratio (~400 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Honor,MagicWatch 2,2019,2019,45.9 x 45.9 x 10.7 mm (1.81 x 1.81 x 0.42 in),41.0,,"OLED capacitive touchscreen, 16M colors",1.39,"454 x 454 pixels, 1:1 ratio (~326 ppi density)","Accelerometer, gyro, heart rate, barometer, compass",Huawei wearable platform
Honor,9X,2019,2019,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),8.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.59,"1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Honor,20 lite (China),2019,2019,157.2 x 73.2 x 7.7 mm (6.19 x 2.88 x 0.30 in),5.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors",6.3,"1080 x 2400 pixels, 20:9 ratio (~418 ppi density)","Fingerprint (under display, optical), accelerometer, proximity, compass",Android 9.0 (Pie)
Honor,Play 3e,2019,2019,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.71,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Accelerometer, proximity",Android 9.0 (Pie)
Honor,Play 3,2019,2019,159.8 x 76.1 x 8.1 mm (6.29 x 3.00 x 0.32 in),176.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.39,"720 x 1560 pixels, 19.5:9 ratio (~269 ppi density)","Accelerometer, proximity, compass",Android 9.0 (Pie)
Honor,20S,2019,2019,154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),172.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.26,"1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Honor,9X Pro,2019,2019,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),202.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.59,"1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Honor,9X (China),2019,2019,163.1 x 77.2 x 8.8 mm (6.42 x 3.04 x 0.35 in),206.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.59,"1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Honor,8S,2019,2019,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),146.0,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.71,"720 x 1520 pixels, 19:9 ratio (~295 ppi density)","Accelerometer, proximity",Android 9.0 (Pie)
Honor,Pad 5 10.1,2019,2019,243 x 164 x 7.8 mm (9.57 x 6.46 x 0.31 in),0.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",10.1,"1920 x 1200 pixels, 16:10 ratio (~224 ppi density)",Accelerometer,Android 8.0 (Oreo)
Honor,Pad 5 8,2019,2019,204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in),0.0,Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors",8.0,"1920 x 1200 pixels, 16:10 ratio (~283 ppi density)","Accelerometer, proximity",Android 9.0 (Pie)
Honor,20 Pro,2019,2019,154.6 x 74 x 8.4 mm (6.09 x 2.91 x 0.33 in),182.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.26,"1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
Honor,20,2019,2019,154.3 x 74 x 7.9 mm (6.07 x 2.91 x 0.31 in),174.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.26,"1080 x 2340 pixels, 19.5:9 ratio (~412 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
